title;description;url;image
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/LukaszKk/PortfolioWebsite;2.png
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/LukaszKk/ToDoList;1.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/LukaszKk/pdf-template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/LukaszKk/invoice-generation;4.png
News Site;A website that gets data from a news API and uses sentiment analysis to publish specific news.;https://github.com/LukaszKk/news-api-email;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/LukaszKk/weather-api;6.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/LukaszKk/weather-forecast-data-app;16.png
Book analysis;A script analyse the book.;https://github.com/LukaszKk/book-analysis;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/LukaszKk/scraping-tours-sql;8.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/LukaszKk/student-management-system;17.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;;10.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;;20.png
AdventOfCode2022;Advent calendar of programming puzzles.;https://github.com/LukaszKk/AdventOfCode2022;10.png